ID;Dialektregion;WS;AgeGroup;Spalte2;Result;Annotation;Source
28;Westmittelbairisch;24;alt;_DR_1S;"Natürlich! Der Satz würde im Dialekt so klingen:

""Könnt's net no a Aug'nblickl auf uns wart'n, dann gehn ma mit eich.""";(e)l;Synthetic
29;Westmittelbairisch;24;alt;_FS;Könnt’s ihr ned noch a Augnblikkchen auf uns wartn, dann gehn ma mit eich.;chen;Synthetic
30;Westmittelbairisch;24;alt;_DR_FS;Könnts ihr ned no a Augnblikkla auf uns wartn, dann geh ma mit eich.;la;Synthetic
31;Westmittelbairisch;24;jung;_0S;Könnt’s ned no a Augenblickl auf uns wartn, dann gehn wir mit eich.;(e)l;Synthetic
32;Westmittelbairisch;24;jung;_DR_0S;„Könnts net noch a Momentchen auf uns wartn, dann gehn ma mit eich.“;IRR;Synthetic
33;Westmittelbairisch;24;jung;_1S;Könnts ihr net no a Augnblickchen auf uns wartn, dann gehn ma mit eich.;chen;Synthetic
34;Westmittelbairisch;24;jung;_DR_1S;Könnts ihr net no a Augnblikkchen auf uns wartn, dann geh ma mit eich.;chen;Synthetic
35;Westmittelbairisch;24;jung;_FS;Könnts net noch a Augnblikkla auf uns wartn, dann gehma mit eich.;la;Synthetic
36;Westmittelbairisch;24;jung;_DR_FS;Könnt's ihr net no a Augnblikkchen auf uns wart'n, dann gehn ma mit eich.;chen;Synthetic
37;Westmittelbairisch;28;alt;_0S;„I versteh eich ned, ihr miasst a bissal lauter red'n.“;erl;Synthetic
38;Westmittelbairisch;28;alt;_DR_0S;„I versteh eich net, ihr müsst a bisserl lauter redn.“;erl;Synthetic
39;Westmittelbairisch;28;alt;_1S;"In meinem Dialekt würde der Satz so klingen:

„I versteh eich net, ihr miasst a bissl lauter sprechn.“";(e)l;Synthetic
40;Westmittelbairisch;28;alt;_DR_1S;Des versta i eich ned, ihr mißt a bissal lauter red'n.;erl;Synthetic
41;Westmittelbairisch;28;alt;_FS;Ich versteh eich net, ihr müsst a bissl lauter red'n.;(e)l;Synthetic
42;Westmittelbairisch;28;alt;_DR_FS;I versteh euch ned, ihr miasst a bissl lauter redn.;(e)l;Synthetic
43;Westmittelbairisch;28;jung;_0S;Klar! Auf Taufkirchnerisch würde das ungefähr so klingen: „I versteh euch ned, ihr müsst a weng lauter redn.“;IRR;Synthetic
44;Westmittelbairisch;28;jung;_DR_0S;In meinem Dialekt würde das so klingen: „I versteh eich net, ihr müßt a bissl lauter red’n.“;(e)l;Synthetic
45;Westmittelbairisch;28;jung;_1S;I versteh eich net, ihr müsst a bisserl lauter redn.;erl;Synthetic
46;Westmittelbairisch;28;jung;_DR_1S;I versteh eich net, eich miasst a bissl lauter red'n.;(e)l;Synthetic
47;Westmittelbairisch;28;jung;_FS;I versteh eich ned, ihr müsst a bissl lauter reden.;(e)l;Synthetic
48;Westmittelbairisch;28;jung;_DR_FS;I versteh eich ned, eich müaßt a bisserl lauter red'n.;erl;Synthetic
49;Westmittelbairisch;29;alt;_0S;"Klar, ich übersetz' das für dich! Im Dialekt könnte das so klingen:

„Habt’s ihr ka Stückerl weiße Seif für mi auf’n Tisch find’n?“";erl;Synthetic
50;Westmittelbairisch;29;alt;_DR_0S;"Natürlich! Auf Westmittelbairisch würde der Satz ungefähr so lauten:

""Hobts ihr koa Stückl weiße Seif für mi auf mein Tiachl gfundn?""";(e)l;Synthetic
51;Westmittelbairisch;29;alt;_1S;"Natürlich! Im Dialekt würde der Satz so klingen:

„Habts ihr koans Stückl weiße Seif für mi auf meim Tischl gefunden?“";(e)l;Synthetic
52;Westmittelbairisch;29;alt;_DR_1S;„Habts ihr koa Stückl weiße Seif für mi auf meim Tischtl gfunden?“;(e)l;Synthetic
53;Westmittelbairisch;29;alt;_FS;Hobts eah koa Stüxal weiße Seif für mi auf meim Tisch gfundn?;erl;Synthetic
54;Westmittelbairisch;29;alt;_DR_FS;Habt's ihr koa Stückl weiße Seif für mi auf meim Tisch gefunden?;(e)l;Synthetic
55;Westmittelbairisch;29;jung;_0S;"Natürlich! In meinem Dialekt könnte der Satz so klingen: 

„Habt's ihr koa Stückerl weiße Seif für mi auf meinm Tischl find'n?“";erl;Synthetic
56;Westmittelbairisch;29;jung;_DR_0S;"Kloa, ich kann des probieren! Im Westmittelbairischen Dialekt würd ma des so sagen:

„Habts ihr koa Stück weiße Seif für mi auf meinem Tische gfundn?“";0;Synthetic
57;Westmittelbairisch;29;jung;_1S;Habs eam ka Stuckl weiße Seif für mi auf meinm Tisch gfundn?;(e)l;Synthetic
58;Westmittelbairisch;29;jung;_DR_1S;Habts ihr ka Stückl weiße Seif für mi auf meinm Tisch gefunden?;(e)l;Synthetic
59;Westmittelbairisch;29;jung;_FS;Habt's koan Stückl weiße Seif für mi auf meim Tischl gfunden?;(e)l;Synthetic
60;Westmittelbairisch;29;jung;_DR_FS;Habts ihr koans Stückl weiße Seif für mi auf meim Tischl gfunden?;(e)l;Synthetic
61;Westmittelbairisch;33;alt;_0S;"In meinem Dialekt würde das so klingen:

„Wos san des für Vögelchen, die da ob’n auf’m Mauerl hock’n?“";chen;Synthetic
62;Westmittelbairisch;33;alt;_0S;"In meinem Dialekt würde das so klingen:

„Wos san des für Vögelchen, die da ob’n auf’m Mauerl hock’n?“";erl;Synthetic
63;Westmittelbairisch;33;alt;_DR_0S;„Was san denn do fia Vöglein ob'n auf'n Mäuerl?“;lein;Synthetic
64;Westmittelbairisch;33;alt;_DR_0S;„Was san denn do fia Vöglein ob'n auf'n Mäuerl?“;erl;Synthetic
65;Westmittelbairisch;33;alt;_1S;Da sitzen ja für Vogelcher oben auf'm Mauerchen?;cher;Synthetic
66;Westmittelbairisch;33;alt;_1S;Da sitzen ja für Vogelcher oben auf'm Mauerchen?;chen;Synthetic
67;Westmittelbairisch;33;alt;_DR_1S;Des san wos für Vögele oben auf’m Mäuerl?;le;Synthetic
68;Westmittelbairisch;33;alt;_DR_1S;Des san wos für Vögele oben auf’m Mäuerl?;erl;Synthetic
69;Westmittelbairisch;33;alt;_FS;Was sitzen da für Vögelchen owa auf’m Mäuerchen?;chen;Synthetic
70;Westmittelbairisch;33;alt;_FS;Was sitzen da für Vögelchen owa auf’m Mäuerchen?;chen;Synthetic
71;Westmittelbairisch;33;alt;_DR_FS;Was sitzn do für Vögelcher oben auf'm Mauerl?;cher;Synthetic
72;Westmittelbairisch;33;alt;_DR_FS;Was sitzn do für Vögelcher oben auf'm Mauerl?;erl;Synthetic
73;Westmittelbairisch;33;jung;_0S;„Was san do für Vögelchen oben auf’m Mäuerchen?“;chen;Synthetic
74;Westmittelbairisch;33;jung;_0S;„Was san do für Vögelchen oben auf’m Mäuerchen?“;chen;Synthetic
75;Westmittelbairisch;33;jung;_DR_0S;"In meinem Dialekt würd' das so klingen: ""Was hock'n denn do für Vöglein ob'n auf'n Mauerl?""";lein;Synthetic
76;Westmittelbairisch;33;jung;_DR_0S;"In meinem Dialekt würd' das so klingen: ""Was hock'n denn do für Vöglein ob'n auf'n Mauerl?""";erl;Synthetic
77;Westmittelbairisch;33;jung;_1S;Wos san do für Vögelchen oben auf’m Mäuerchen?;chen;Synthetic
78;Westmittelbairisch;33;jung;_1S;Wos san do für Vögelchen oben auf’m Mäuerchen?;chen;Synthetic
79;Westmittelbairisch;33;jung;_DR_1S;Was sitzen do für Vögl auf'n Mauerl?;0;Synthetic
80;Westmittelbairisch;33;jung;_DR_1S;Was sitzen do für Vögl auf'n Mauerl?;erl;Synthetic
81;Westmittelbairisch;33;jung;_FS;Was san da für Vögelchen oben auf'm Mäuerl?;chen;Synthetic
82;Westmittelbairisch;33;jung;_FS;Was san da für Vögelchen oben auf'm Mäuerl?;erl;Synthetic
83;Westmittelbairisch;33;jung;_DR_FS;Was sitzen do fia vögelchen obn auf'n mäuerchen?;chen;Synthetic
84;Westmittelbairisch;33;jung;_DR_FS;Was sitzen do fia vögelchen obn auf'n mäuerchen?;chen;Synthetic
85;Westmittelbairisch;49;alt;_0S;"In meinem Dialekt könnte der Satz so klingen:

""De Bua ham fünf Ochs und neine Kühe und zwölfe Schaf vor's Dorf bracht, de wollten's verkaufen.""";0;Synthetic
86;Westmittelbairisch;49;alt;_DR_0S;"In meinem Dialekt würde das so klingen:

„Die Bauern hom fünf Ochs’n und neun Küah und zwölfe Schaf’n vor’s Dorf bracht, die wull’n se verkauf’n.“";n;Synthetic
87;Westmittelbairisch;49;alt;_1S;"Satz: Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.

Übersetzung: De Bauern ham fünfe Ochsen und neine Kühe und zwölfe Schäfchen vor s’ Dorf bracht, de wolltn se verkaufn.";chen;Synthetic
88;Westmittelbairisch;49;alt;_DR_1S;Des Bauern hom fünfe Ochs'n und neun Kühe und zwölfe Schaf'n vor's Dorf bracht, die woll'n sie verkaufen.;n;Synthetic
89;Westmittelbairisch;49;alt;_FS;de Bauern hom fümf Ochs'n und neih Küah und zwöf Schaf'n vor's Dorf bracht, de wöll'n se verkauf'n.;n;Synthetic
90;Westmittelbairisch;49;alt;_DR_FS;De Bauern hen fünf Oxxn und neun Küh und zwölfe Schäfchen vor’s Dorf bracht, de woid’n se verkaufen.;chen;Synthetic
91;Westmittelbairisch;49;jung;_0S;"Klar! Im Taufkirchener Dialekt könnte das so klingen:

""Die Baur'n hatten fünf Ochs'n und neune Küah und zwölfe Schaf'n vor's Dorf gebracht, die woll'n's verkaufen.""";n;Synthetic
92;Westmittelbairisch;49;jung;_DR_0S;"Sicher! In meinem Dialekt würde der Satz so klingen:

„Die Bua’n ham fünf Ochs’n und neun Küah und zwölfe Schaf’n vor’s Dorf bracht, die woll’n’s verkaufen.“";n;Synthetic
93;Westmittelbairisch;49;jung;_1S;Die Bauan hättn fümf Ochs'n und neun Kühe und zwölfe Schäf'n vor's Dorf bracht, de wölltn's verkauf'n.;n;Synthetic
94;Westmittelbairisch;49;jung;_DR_1S;Die Baurn hotted fünfe Ochs'n und neie Kiah und zwoa Schaf'n vor's Dorf brocht, de woin se verkaff'n.;n;Synthetic
95;Westmittelbairisch;49;jung;_FS;Die Bauan hoben fünf Ochs'n und neun Kih' und zwoa Schaf'n vor's Dorf bracht, de wöll'n se verkaufen.;n;Synthetic
96;Westmittelbairisch;49;jung;_DR_FS;Die Bauern ham fünf Ochs'n und neun Küah und zwoa Schaf'n vor's Dorf bracht, de woll'n se verkaufen.;n;Synthetic
97;Südmittelbairisch;23;alt;_0S;"""Hint’n unser’m Haus stehn drei schene Apfelbäumchen mit rotn Äpfelchen.""";chen;Synthetic
98;Südmittelbairisch;23;alt;_0S;"""Hint’n unser’m Haus stehn drei schene Apfelbäumchen mit rotn Äpfelchen.""";chen;Synthetic
99;Südmittelbairisch;23;alt;_DR_0S;„Hinter unserm Haus steh’n drei schöne Apfelbäumchen mit roten Äpfelchen.“;chen;Synthetic
100;Südmittelbairisch;23;alt;_DR_0S;„Hinter unserm Haus steh’n drei schöne Apfelbäumchen mit roten Äpfelchen.“;chen;Synthetic
101;Südmittelbairisch;23;alt;_1S;Hinter unserm Haus steign drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
102;Südmittelbairisch;23;alt;_1S;Hinter unserm Haus steign drei schöne Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
103;Südmittelbairisch;23;alt;_DR_1S;Hinter unserm Huas stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
104;Südmittelbairisch;23;alt;_DR_1S;Hinter unserm Huas stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
105;Südmittelbairisch;23;alt;_FS;Hinter unserm Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
106;Südmittelbairisch;23;alt;_FS;Hinter unserm Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
107;Südmittelbairisch;23;alt;_DR_FS;Hinter unsam Haus stein drei schöna Apfelbäumchen mit rotn Äpfelchn.;chen;Synthetic
108;Südmittelbairisch;23;alt;_DR_FS;Hinter unsam Haus stein drei schöna Apfelbäumchen mit rotn Äpfelchn.;chen;Synthetic
109;Südmittelbairisch;23;jung;_0S;In Neckenmarkt könnte das so klingen: „Hinter uns’m Haus stehn drei scheene Apfelbäumchen mit roten Äpfelchen.“;chen;Synthetic
110;Südmittelbairisch;23;jung;_0S;In Neckenmarkt könnte das so klingen: „Hinter uns’m Haus stehn drei scheene Apfelbäumchen mit roten Äpfelchen.“;chen;Synthetic
111;Südmittelbairisch;23;jung;_DR_0S;In unserem Haus stehn drei scheene Apfelbäumchen mit roten Äpfelchen.;chen;Synthetic
112;Südmittelbairisch;23;jung;_DR_0S;In unserem Haus stehn drei scheene Apfelbäumchen mit roten Äpfelchen.;chen;Synthetic
113;Südmittelbairisch;23;jung;_1S;Hinter unserm Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
114;Südmittelbairisch;23;jung;_1S;Hinter unserm Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
115;Südmittelbairisch;23;jung;_DR_1S;Hinter unsrem Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
116;Südmittelbairisch;23;jung;_DR_1S;Hinter unsrem Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
117;Südmittelbairisch;23;jung;_FS;Hindern unserm Haus steh’n drei scheene Apfelbäumchen mit rotn Äpfelchn.;chen;Synthetic
118;Südmittelbairisch;23;jung;_FS;Hindern unserm Haus steh’n drei scheene Apfelbäumchen mit rotn Äpfelchn.;chen;Synthetic
119;Südmittelbairisch;23;jung;_DR_FS;Hinter unsrem Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
120;Südmittelbairisch;23;jung;_DR_FS;Hinter unsrem Haus stehn drei scheene Apfelbäumchen mit rotn Äpfelchen.;chen;Synthetic
121;Südmittelbairisch;24;alt;_0S;"In Neckenmarkt, einem Ort in Österreich, würde der Satz etwa so klingen:

„Könnt’s ned no a Momentl auf uns wart’n, dann geh’n ma mit eich.“";IRR;Synthetic
122;Südmittelbairisch;24;alt;_DR_0S;Könnt's net no a Augenblickl auf uns warten, dann kimma mit eich.;(e)l;Synthetic
123;Südmittelbairisch;24;alt;_1S;Goißt's net noch a Aug'nblick auf uns warta, donn gehn ma mit eich.;(e)l;Synthetic
124;Südmittelbairisch;24;alt;_DR_1S;Könnts ihr net noch a Augnblikkle auf uns wartn, dann gehn ma mit eich.;le;Synthetic
125;Südmittelbairisch;24;alt;_FS;Könnts ihr net no a Augnblikkla auf uns warten, dann gehn wir mit eich.;la;Synthetic
126;Südmittelbairisch;24;alt;_DR_FS;Könnts ihr ned noch a Augnblöckchen auf uns wartn, donn gehn ma mit eich.;chen;Synthetic
127;Südmittelbairisch;24;jung;_0S;„Könnt’s net noch a bissl auf uns warten, dann gehn ma mit euch.“;IRR;Synthetic
128;Südmittelbairisch;24;jung;_DR_0S;"Natürlich, in meinem Dialekt könnte das so klingen: 

""Könnt’s ned noch a Bisserl auf uns warten, dann geh’n ma mit eich.""";IRR;Synthetic
129;Südmittelbairisch;24;jung;_1S;Könnt’s ihr net noch a Augnblick auf uns wart’n, dann gehn ma mit eich.;0;Synthetic
130;Südmittelbairisch;24;jung;_DR_1S;Könnt’s ihr ned a noch a Aug’nblick auf uns wart’n, donn geh’n ma mit eich.;0;Synthetic
131;Südmittelbairisch;24;jung;_FS;Könnts ihr net noch a Augnblickl auf uns warta, donn gehn ma mit eich.;0;Synthetic
132;Südmittelbairisch;24;jung;_DR_FS;Könnts ihr net noch a Augnblickl auf uns warta, dann gehn wir mit eich.;0;Synthetic
133;Südmittelbairisch;28;alt;_0S;Na, i versteh eich net, ihr müsst a bissl lauter red'n.;(e)l;Synthetic
134;Südmittelbairisch;28;alt;_DR_0S;„I versteh eich net, ihr müsst a bissl lauter red’n.“;(e)l;Synthetic
135;Südmittelbairisch;28;alt;_1S;"Klar, hier ist die Übersetzung in den Dialekt:

„I versteh euch net, ihr müßt a bisserl lauter reden.“";erl;Synthetic
136;Südmittelbairisch;28;alt;_DR_1S;I versteh eich ned, eich müass a bisserl lauter redn.;erl;Synthetic
137;Südmittelbairisch;28;alt;_FS;Ich verstohe eich ned, ihr müßt a bissl lauter sprechn.;(e)l;Synthetic
138;Südmittelbairisch;28;alt;_DR_FS;I versteh eich ned, ihr müsst a bisserl lauter sprechn.;erl;Synthetic
139;Südmittelbairisch;28;jung;_0S;„I versteh euch ned, ihr müsst a bisserl lauter redn.“;erl;Synthetic
140;Südmittelbairisch;28;jung;_DR_0S;„I versteh eich ned, ihr müßt a bisserl lauter red'n.“;erl;Synthetic
141;Südmittelbairisch;28;jung;_1S;I versteh eich ned, ihr müss a bissl lauter sprechn.;(e)l;Synthetic
142;Südmittelbairisch;28;jung;_DR_1S;I versteh eich ned, eich müass a bisserl lauter redn.;erl;Synthetic
143;Südmittelbairisch;28;jung;_FS;Ich versteh eich net, ihr miasst a bissl lauter sprechen.;(e)l;Synthetic
144;Südmittelbairisch;28;jung;_DR_FS;I versthe eich net, ihr müsst a bissl lauter redn.;(e)l;Synthetic
145;Südmittelbairisch;29;alt;_0S;„Habt’s ihr koa Stückl weiße Seif für mi auf meinm Tischl gfundn?“;(e)l;Synthetic
146;Südmittelbairisch;29;alt;_DR_0S;Habts es ka Weißseifenstückl für mi auf meim Tisch gfundn?;(e)l;Synthetic
147;Südmittelbairisch;29;alt;_1S;hobts es koan Stüggal weiße Seif für mi auf meim Tisch gfundn?;erl;Synthetic
148;Südmittelbairisch;29;alt;_DR_1S;Hobts es koans Stiakel weiße Soaf füa mi auf meim Tische gfundn?;(e)l;Synthetic
149;Südmittelbairisch;29;alt;_FS;hobts kuan stukal waße seifn fia mi auf mein tisch gfundn?;erl;Synthetic
150;Südmittelbairisch;29;alt;_DR_FS;hobts koans stückal wais seifn für mi auf mein tisch gfundn?;erl;Synthetic
151;Südmittelbairisch;29;jung;_0S;Klar, in meinem Dialekt würde das ungefähr so klingen: „Habt’s nix an Stückl weiße Seif für mi auf’m Tisch find’n?“;(e)l;Synthetic
152;Südmittelbairisch;29;jung;_DR_0S;„Habts ihr nix a Stückl weiße Seif für mi auf’m Tisch g’fund’n?“;(e)l;Synthetic
153;Südmittelbairisch;29;jung;_1S;Habt’s ihr koa Stückl weiße Seife für mi auf meim Tischtl gefunden?;(e)l;Synthetic
154;Südmittelbairisch;29;jung;_DR_1S;Habts eam ka Stückli weiße Seif für mi auf meim Tisch gfundn?;li;Synthetic
155;Südmittelbairisch;29;jung;_FS;Habts ihr koa Stückl weiße Seife für mi auf meim Tisch gfundn?;(e)l;Synthetic
156;Südmittelbairisch;29;jung;_DR_FS;Habt's ihr koa Stückl weiße Seif für mi auf mein Tische gfundn?;(e)l;Synthetic
157;Südmittelbairisch;33;alt;_0S;„Was sitzen do für Vögele oben auf’n Mauerl?“;le;Synthetic
158;Südmittelbairisch;33;alt;_0S;„Was sitzen do für Vögele oben auf’n Mauerl?“;erl;Synthetic
159;Südmittelbairisch;33;alt;_DR_0S;Na, wos san do für Vöglein, die ob'n auf'n Mäuerl sitzen?;lein;Synthetic
160;Südmittelbairisch;33;alt;_DR_0S;Na, wos san do für Vöglein, die ob'n auf'n Mäuerl sitzen?;erl;Synthetic
161;Südmittelbairisch;33;alt;_1S;Was sizzn do fia Vöglchn oba auf’m Mauerl?;chen;Synthetic
162;Südmittelbairisch;33;alt;_1S;Was sizzn do fia Vöglchn oba auf’m Mauerl?;erl;Synthetic
163;Südmittelbairisch;33;alt;_DR_1S;Was sitzn do für Vöglcherl owa auf’m Mäuerl?;cherl;Synthetic
164;Südmittelbairisch;33;alt;_DR_1S;Was sitzn do für Vöglcherl owa auf’m Mäuerl?;erl;Synthetic
165;Südmittelbairisch;33;alt;_FS;Was sitzn do für Vöglchn obm aufm Mäuerchn?;chen;Synthetic
166;Südmittelbairisch;33;alt;_FS;Was sitzn do für Vöglchn obm aufm Mäuerchn?;chen;Synthetic
167;Südmittelbairisch;33;alt;_DR_FS;Was sitzn do für Vögelchen oben aufm Mauerle?;chen;Synthetic
168;Südmittelbairisch;33;alt;_DR_FS;Was sitzn do für Vögelchen oben aufm Mauerle?;le;Synthetic
169;Südmittelbairisch;33;jung;_0S;Wos sitzn denn do füa Vogerl obn auf'm Mauerl?;erl;Synthetic
170;Südmittelbairisch;33;jung;_0S;Wos sitzn denn do füa Vogerl obn auf'm Mauerl?;erl;Synthetic
171;Südmittelbairisch;33;jung;_DR_0S;Wås sitzn do füa Vögerl oben aufm Mäuerl?;erl;Synthetic
172;Südmittelbairisch;33;jung;_DR_0S;Wås sitzn do füa Vögerl oben aufm Mäuerl?;erl;Synthetic
173;Südmittelbairisch;33;jung;_1S;Wos sitzn do fia Vogerl obm aufm Moierl?;erl;Synthetic
174;Südmittelbairisch;33;jung;_1S;Wos sitzn do fia Vogerl obm aufm Moierl?;erl;Synthetic
175;Südmittelbairisch;33;jung;_DR_1S;Wos sitzn do fia Vögal oba aufm Moierl?;erl;Synthetic
176;Südmittelbairisch;33;jung;_DR_1S;Wos sitzn do fia Vögal oba aufm Moierl?;erl;Synthetic
177;Südmittelbairisch;33;jung;_FS;Wos sitzn do fiar Vigalkin obm aufm Mojerl?;kin;Synthetic
178;Südmittelbairisch;33;jung;_FS;Wos sitzn do fiar Vigalkin obm aufm Mojerl?;erl;Synthetic
179;Südmittelbairisch;33;jung;_DR_FS;Was sitzn do für Vögelcher owa auf’m Mauerl?;cher;Synthetic
180;Südmittelbairisch;33;jung;_DR_FS;Was sitzn do für Vögelcher owa auf’m Mauerl?;erl;Synthetic
181;Südmittelbairisch;49;alt;_0S;„Die Bauren hätt’n fünf Ochs’n und neun Kühe und zwölfe Schaf’n vor’s Dorf bracht, die woll’n sie verkaufen.“;n;Synthetic
182;Südmittelbairisch;49;alt;_DR_0S;"In meinem Dialekt würde das so klingen: 

„Die Baua ham fünf Ochs’n und neich Küah und zwoa Zwetschgen vor’s Dorf bracht, die woll’n sie verkauf’n.“";IRR;Synthetic
183;Südmittelbairisch;49;alt;_1S;"Satz: Die Bauern hatten fünf Ochsen und neun Kühe und zwölf Schäfchen vor das Dorf gebracht, die wollten sie verkaufen.

Übersetzung: Die Bauarn hättn fümf Ochs'n und nejn Kiah und zwölft Schäf'n vor's Dorf bracht, die wölltn's verkaff'n.";n;Synthetic
184;Südmittelbairisch;49;alt;_DR_1S;Die Bauern hodd’n fünf Ochs’n und neine Küah und zwoaf Schäf’n vor’s Dorf bracht, die wollt’n se verkaff’n.;n;Synthetic
185;Südmittelbairisch;49;alt;_FS;Die Bauern henn fünf Ochs’n und neun Küah und zwölv Schäf’n vor’s Dorf bracht, die woll’n sie verkauf’n.;n;Synthetic
186;Südmittelbairisch;49;alt;_DR_FS;Die Bauern hadd'n fünf Ochs'n und nean Küah und zwölft Schaf'n vor's Dorf bracht, die woll'n's verkaufen.;n;Synthetic
187;Südmittelbairisch;49;jung;_0S;„Die Bauern ham fünf Ochsen und neun Kühe und zwölf Schafsbockerl vor’s Dorf bracht, die woll’n’s verkaufen.“;IRR;Synthetic
188;Südmittelbairisch;49;jung;_DR_0S;In meinem Dialekt würde das so klingen: „De Bäuern ham fünf Ochs’n und neun Kiah und zwölfe Schaf’n vor’s Dorf bracht, die wüll’n se verkauf’n.“;n;Synthetic
